#    object_id            ra              dec               x                y          realized_flux         flux             mag            obj_type     
  10431000669745   1.09181495e+01  -4.46506035e+01   3.21140884e+03   9.41032706e+02   1.00000000e+01   7.24132107e+00   1.28900808e+01           galaxy
  10431000669760   1.09031278e+01  -4.45565764e+01   3.33495304e+03   4.09348129e+03   8.00000000e+00   9.97757609e+00   1.25420627e+01           galaxy
  10431000672308   1.07865934e+01  -4.47050456e+01  -1.00716133e+02  -4.34371195e+02   2.00000000e+00   4.33327225e+00   1.34475854e+01           galaxy
  10431000676618   1.08989452e+01  -4.46944990e+01   2.54764381e+03  -4.46097254e+02   1.30000000e+01   8.02553652e+00   1.27784401e+01           galaxy
  10431000682294   1.08531418e+01  -4.46680670e+01   1.62119833e+03   5.73721267e+02   1.20000000e+01   9.85276158e+00   1.25557304e+01           galaxy
  10431000695479   1.07848979e+01  -4.46844028e+01  -3.74931161e+01   2.52616574e+02   8.00000000e+00   7.30082962e+00   1.28811948e+01           galaxy
  10431000698771   1.08811779e+01  -4.46767938e+01   2.22565056e+03   1.95563229e+02   1.10000000e+01   4.59541653e+00   1.33838131e+01           galaxy
  10431000706534   1.08982537e+01  -4.46494147e+01   2.75734898e+03   1.04444195e+03   8.00000000e+00   9.74610296e+00   1.25675478e+01           galaxy
  10431000706535   1.08969583e+01  -4.46524861e+01   2.71202312e+03   9.47222889e+02   6.00000000e+00   5.23082385e+00   1.32432001e+01           galaxy
  10431000706730   1.08253863e+01  -4.46100937e+01   1.26808738e+03   2.57669721e+03   6.00000000e+00   5.16824970e+00   1.32562666e+01           galaxy
  10431000706957   1.08593870e+01  -4.46827333e+01   1.69237394e+03   6.94857334e+01   6.00000000e+00   4.93264274e+00   1.33069261e+01           galaxy
  10431000706967   1.08560950e+01  -4.46893051e+01   1.58351004e+03  -1.36913308e+02   4.00000000e+00   6.20309256e+00   1.30581046e+01           galaxy
  10431000706989   1.08674991e+01  -4.46947161e+01   1.82000959e+03  -3.52151123e+02   7.00000000e+00   9.38948929e+00   1.26080204e+01           galaxy
  10431000707000   1.08532726e+01  -4.46909497e+01   1.51008567e+03  -1.82156381e+02   9.00000000e+00   7.35951357e+00   1.28725025e+01           galaxy
  10431000707006   1.08595209e+01  -4.46927899e+01   1.64528456e+03  -2.62951927e+02   9.00000000e+00   7.79308233e+00   1.28103521e+01           galaxy
  10431000707011   1.08562734e+01  -4.46883226e+01   1.59253387e+03  -1.05050618e+02   1.20000000e+01   7.01106307e+00   1.29251656e+01           galaxy
  10431000707030   1.08578602e+01  -4.46896324e+01   1.62266578e+03  -1.53383355e+02   1.00000000e+00   3.84609563e+00   1.35770751e+01           galaxy
  10431000707037   1.08622099e+01  -4.46949723e+01   1.69652260e+03  -3.43631010e+02   5.00000000e+00   4.29076656e+00   1.34582881e+01           galaxy
  10431000707054   1.08569695e+01  -4.46946624e+01   1.57698801e+03  -3.16584305e+02   1.10000000e+01   8.34323137e+00   1.27362896e+01           galaxy
  10431000707085   1.08513030e+01  -4.46781117e+01   1.52859818e+03   2.47998733e+02   7.00000000e+00   9.72472741e+00   1.25699317e+01           galaxy
  10431000707086   1.08530191e+01  -4.46882585e+01   1.51765156e+03  -9.24944830e+01   1.00000000e+01   8.59647773e+00   1.27038239e+01           galaxy
  10431000707095   1.08578930e+01  -4.46903636e+01   1.61977526e+03  -1.77627558e+02   5.00000000e+00   7.26319760e+00   1.28868056e+01           galaxy
  10431000713874   1.08791491e+01  -4.46742651e+01   2.19139835e+03   2.85566138e+02   1.40000000e+01   6.30106314e+00   1.30410907e+01           galaxy
  10431000717086   1.08898404e+01  -4.45929713e+01   2.84516568e+03   2.93487253e+03   1.20000000e+01   9.87199766e+00   1.25536127e+01           galaxy
  10431000718070   1.09447754e+01  -4.46656162e+01   3.75157088e+03   3.59424412e+02   8.00000000e+00   8.69282833e+00   1.26917225e+01           galaxy
  10431000721501   1.09171228e+01  -4.46641615e+01   3.11970043e+03   4.96785061e+02   1.00000000e+01   7.69256385e+00   1.28244475e+01           galaxy
  10431000723228   1.08224162e+01  -4.46796802e+01   8.53129433e+02   2.88739573e+02   1.40000000e+01   5.36992675e+00   1.32147044e+01           galaxy
  10431000723232   1.08108260e+01  -4.46797997e+01   5.84647074e+02   3.21849698e+02   4.00000000e+00   3.87292673e+00   1.35695271e+01           galaxy
  10431000725012   1.09149242e+01  -4.46908659e+01   2.93502523e+03  -3.77655108e+02   1.10000000e+01   7.53353580e+00   1.28471281e+01           galaxy
  10431000725410   1.09469569e+01  -4.46018952e+01   4.12220280e+03   2.45575002e+03   9.00000000e+00   7.96135732e+00   1.27871575e+01           galaxy
  10431000726858   1.08248488e+01  -4.46649571e+01   9.82623408e+02   7.67052433e+02   6.00000000e+00   8.51742975e+00   1.27138539e+01           galaxy
  10431000726862   1.08300577e+01  -4.46652541e+01   1.10156740e+03   7.40572743e+02   5.00000000e+00   7.15768425e+00   1.29026939e+01           galaxy
  10431000726867   1.08252516e+01  -4.46649993e+01   9.91724958e+02   7.64371378e+02   8.00000000e+00   9.26579079e+00   1.26224191e+01           galaxy
  10431000726868   1.08272421e+01  -4.46648585e+01   1.03844505e+03   7.62647763e+02   5.00000000e+00   7.33251975e+00   1.28764922e+01           galaxy
  10431000733018   1.09238126e+01  -4.45512428e+01   3.84073147e+03   4.20269945e+03   1.10000000e+01   9.03997354e+00   1.26492074e+01           galaxy
  10431000734213   1.09355584e+01  -4.45629225e+01   4.05412033e+03   3.77913512e+03   7.00000000e+00   5.68103065e+00   1.31535575e+01           galaxy
  10431000734219   1.09334050e+01  -4.45636662e+01   4.00052549e+03   3.76155634e+03   3.00000000e+00   3.23925939e+00   1.37635110e+01           galaxy
  10431000734220   1.09349896e+01  -4.45641122e+01   4.03497724e+03   3.74170417e+03   6.00000000e+00   3.96283296e+00   1.35446109e+01           galaxy
  10431000735529   1.08468038e+01  -4.46471551e+01   1.57893478e+03   1.28444881e+03   3.00000000e+00   4.66134229e+00   1.33683478e+01           galaxy
  10431000735856   1.09446836e+01  -4.46144340e+01   4.00660462e+03   2.04921361e+03   1.20000000e+01   9.92665585e+00   1.25476179e+01           galaxy
  10431000736598   1.07748623e+01  -4.46496001e+01  -9.69459723e+01   1.43373346e+03   4.00000000e+00   6.52783398e+00   1.30027025e+01           galaxy
  10431000736932   1.07848055e+01  -4.46420811e+01   1.70309390e+02   1.65029585e+03   1.00000000e+00   5.02014946e+00   1.32878337e+01           galaxy
  10431000739178   1.07780014e+01  -4.46674882e+01  -1.13032854e+02   8.33089173e+02   1.90000000e+01   8.55980825e+00   1.27084652e+01           galaxy
  10431000739285   1.08881395e+01  -4.46608055e+01   2.46651364e+03   7.00980011e+02   4.00000000e+00   6.43709268e+00   1.30179009e+01           galaxy
  10431000739286   1.08951035e+01  -4.46604019e+01   2.62952386e+03   6.91881430e+02   7.00000000e+00   3.56801313e+00   1.36585592e+01           galaxy
  10431000739288   1.08812625e+01  -4.46567196e+01   2.32795654e+03   8.57996781e+02   1.00000000e+00   3.19885854e+00   1.37771377e+01           galaxy
  10431000739292   1.08862322e+01  -4.46596031e+01   2.42843373e+03   7.46813683e+02   6.00000000e+00   5.99196556e+00   1.30957020e+01           galaxy
  10431000746473   1.07843387e+01  -4.46233674e+01   2.52336440e+02   2.26967681e+03   7.00000000e+00   4.91512396e+00   1.33107891e+01           galaxy
  10431000749104   1.08543990e+01  -4.46114231e+01   1.93281318e+03   2.43974534e+03   5.00000000e+00   5.95552418e+00   1.31023253e+01           galaxy
  10431000615997   1.08031693e+01  -4.46505929e+01   5.52765637e+02   1.31062908e+03   8.00000000e+00   9.69377950e+00   1.25733924e+01           galaxy
